Sl No,Udise Code,School Name,District Name,Block Name,Type,Management,Category,Class From,Class To,Status,TOT STUDENT(1 TO 12),TOT TEACHER,PS TOT,UPS TOT,SEC TOT,HI SEC TOT,Pre-Primary Availability,No. of Pre-Primary Classes,School Location,Arts Stream,Commerce Stream,Science Stream,Vocational Stream,Other Streams
23439,21110705002,"SIDHESWARI UPPER PRY. SCHOOL, DEULI",JAGATSINGHPUR-2111,RAGHUNATHPUR-211107,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,104,8,64,40,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23461,21110707401,GOVT. PROJECT  UPS ROUTNUAGAN,JAGATSINGHPUR-2111,RAGHUNATHPUR-211107,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,70,5,46,24,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23462,21110704103,"GOVT. UPPER PRY. SCHOOL, KUAMANGA",JAGATSINGHPUR-2111,RAGHUNATHPUR-211107,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,115,7,73,42,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23463,21110700701,"GOVT.  U..P. SCHOOL, BADATIHADA.",JAGATSINGHPUR-2111,RAGHUNATHPUR-211107,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,128,8,68,60,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23464,21110701401,"NILAKANTHA GOVT UPPER PRY SCHOOL, NEULIA",JAGATSINGHPUR-2111,RAGHUNATHPUR-211107,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,27,2,19,8,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23497,21110823201,"AKHANDAL GOVT. UP SCHOOL, NAUSIRA

",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,131,7,87,44,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23498,21110803701,BAIDESWAR GOVT UPPER PRY. SCHOOL,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,61,3,33,28,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23499,21110812101,"BALABIHARI GOVT. UPPER PRY. SCHOOL, MATAGAJAPUR",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,128,4,82,46,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23500,21110824001,BAPUJEE GOVT U P SCHOOL,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,78,4,50,28,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23501,21110808001,BHAGABATI GOVT UPPER PRY. SCHOOL BIJIPUR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,40,3,27,13,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23502,21110816301,"BHARATI GOVT. UPPER PRIMARY. SCHOOL, MALANDA",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,142,5,101,41,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23504,21110820701,"BIC GOVT. UP SCHOOL

",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,57,3,42,15,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23505,21110815902,BISWANTH ICHHABEHARI GOVT UPPER PRIMARY SCHOOL KOSTI,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,143,6,73,70,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23506,21110805403,"BUDHADEV GOVT. UPPER PRY. SCHOOL, GARAM",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,29,2,0,29,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
23507,21110816701,BUDHI JAGULAI GOVT. U.P. SCHOOL,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,51,2,39,12,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23508,21110804201,"CHANDRA SEKHAR GOVT UPPER PRIMARY SCHOOL, P. POSAL",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,199,4,115,84,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23509,21110812901,"CHANDRA SEKHAR GOVT. UPPER PRY. SCHOOL, BEGUNIA",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,118,5,85,33,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23510,21110810305,GOVT. HIGH SCHOOL JAGANNATHPUR. TIRAN,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,432,15,13,186,233,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23511,21110818002,"GOVT. HIGH SCHOOL, MULISINGH",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,490,17,128,225,137,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23563,21110808501,GOVT UPPER PRIMARY SCHOOL ALANA,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,66,3,60,6,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23564,21110811601,GOVT. UPPER PRIMARY SCHOOL BHANSAR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,38,2,32,6,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23565,21110814501,GOVT. UPPER PRIMARY SCHOOL DHANUA PATKURA,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,56,4,38,18,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23566,21110810102,GOVT. UPPER PRIMARY SCHOOL DHUNPUR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,77,4,32,45,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23567,21110817801,GOVT. UPPER PRIMARY SCHOOL KABALPUR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,78,5,43,35,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23568,21110814001,GOVT. UPPER PRIMARY SCHOOL MARDOL,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,88,5,52,36,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23569,21110807501,GOVT UPPER PRIMARY SCHOOL PUTTING JAYASINGHPUR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,87,5,53,34,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23570,21110815101,GOVT. UPPER PRIMARY SCHOOL RAGHUNATHPUR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,28,2,16,12,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23571,21110806801,GOVT UPPER PRIMARY SCHOOL URADHA KIRANTI,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,64,2,41,23,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23572,21110813701,GOVT. UPPER PRY. SCHOOL KATARA,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,193,7,65,128,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23573,21110818901,"GOVT. UP SCHOOL KOTIAN

",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,95,6,54,41,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23574,21110816605,GOVT. UP SCHOOL KRUSHNANANDAPUR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,236,6,146,90,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23575,21110817401,"GOVT.UP SCHOOL NIMAKANA

",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,102,5,48,54,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23576,21110822201,GOVT UP SCHOOL PUBAPADA,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,84,6,52,32,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23577,21110824401,"GOVT.UP SCHOOL SALAMANGA

",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,65,5,29,36,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23578,21110808402,GOVT. UP SCHOOL SARALPUR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,58,4,31,27,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23579,21110815202,GOVT. UP SCHOOL TARTOL,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,111,5,58,53,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23580,21110823402,"GOVT. UP SCHOOL, TENTULIPADA

",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,112,6,72,40,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23581,21110822501,GOVT. U.P. SCHOOL TERTANG,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,156,8,109,47,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23590,21110814701,"JAGANNATH GOVT HIGH SCHOOL, KOLAR JAYPUR",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,211,11,37,90,84,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23591,21110812201,"JANATA GOVT. UPPER PRY. SCHOOL, MIRZAPUR",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,71,3,25,46,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23592,21110822802,"J.P.  GOVT. UPPER PRY. SCHOOL,KHANDASAHI",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,135,5,75,60,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23593,21110802001,"LAXMI NARAYAN GOVT. UPPER PRY. SCHOOL, ARILO",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,93,4,50,43,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23594,21110823501,"MANI CHARAN SARALA  GOVT. HIGH SCHOOL, TIRTOL",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,398,14,0,185,213,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
23595,21110800801,NANDAKISHORE GOVT. UP SCHOOL BILASPUR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,59,3,44,15,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23596,21110800402,"PATITAPABAN GOVT. UPPER PRY. SCHOOL, AMBERI",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,84,3,33,51,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23597,21110802702,"RADHA MADHABA GOVT. UPPER PRY. SCHOOL, OUPADA",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,32,4,13,19,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23598,21110815301,SAPANESWAR GOVT. UPPER PRIMARY SCHOOL ATAMUL,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,92,3,57,35,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23599,21110811001,"SARADA  ACADEMY GOVT. HIGH SCHOOL, KANAKPUR",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,518,21,80,204,234,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23600,21110824902,"SATSANGA GOVT UPPER PRY. SCHOOL, TULANG",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,40,3,30,10,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23601,21110822001,"SATYANARAYAN GOVT. UP SCHOOL, KOTAKANA

",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,72,6,47,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23602,21110800201,"SUDARSAN GOVT UP SCHOOL, ARILO",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,40,3,27,13,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23632,21110810302,BODHANATH GOVT. UPPER PRIMARY SCHOOL,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,139,5,81,58,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23633,21110824101,"GOVERNMENT UPPER PRIMARY SCHOOL, NAULO",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,82,4,57,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23634,21110809901,GOVT. UPPER PRIMARY SCHOOL CHANDILO,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,85,4,54,31,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23635,21110802901,GOVT UPPER PRIMARY SCHOOL HALADIA ,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,54,3,36,18,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23636,21110810501,GOVT. UPPER PRIMARY SCHOOL PURIJENA,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,45,3,34,11,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23637,21110805301,GOVT UPPER PRIMARY SCHOOL RANKEI,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,26,3,14,12,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23638,21110801301,GOVT. UPPER PRIMARY SCHOOL SALAMPUR,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,135,6,76,59,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23639,21110816601,GOVT. U.P. SCHOOL AKHUNMOHALLA,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,266,5,144,122,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23640,21110821001,"GOVT.U.P.SCHOOL,DHUANPARI",JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,50,6,34,16,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23641,21110819101,GOVT UP SCHOOL NANDAN I,JAGATSINGHPUR-2111,TIRTOL-211108,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,55,3,26,29,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23698,21130100101,ACHUTIBASANTA UGME,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,198,6,121,77,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23702,21130119201,AMIYAJHARI NODAL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,172,7,79,93,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23704,21130100401,ANAKA UGME,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,124,5,78,46,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23709,21130113601,BAHADURNAGAR UGUP SCHOOL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,176,4,95,81,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23711,21130105902,BALICHANDRAPUR  GOVT.  H.S,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,536,22,91,230,215,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23713,21130119501,BANGARGUNTHA UGME,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,151,5,74,77,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23715,21130118201,BANMALIPUR UGME,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,198,5,116,82,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23719,21130112801,BATTO UGME,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,232,7,127,105,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23724,21130118301,BHAKUDA NODAL UP SCHOOL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,142,6,100,42,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23725,21130109201,"BHARATI NODAL U.P,BARITHENGARH",JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,116,6,76,40,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23728,21130119601,BIDYADHARAPUR UGME,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,76,5,33,43,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23731,21130111301,BYREE NODAL U.P.S.,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,208,8,80,128,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23733,21130122001,CHAMPAPUR UG U.P. SCHOOL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,128,6,68,60,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23734,21130118101,CHANDIA NODAL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,134,5,79,55,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23735,21130113604,CHARINANGAL  NODAL  H.S,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,1081,28,384,440,257,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23736,21130114101,CHHATIA GOVT. HIGH SCHOOL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,636,27,128,251,257,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23738,21130100601,DAKHINAKUL U.G.U.P  SCHOOL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,76,5,53,23,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23740,21130109401,DAYASUNI UPS,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,90,4,0,90,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
23743,21130116001,DHANAMANDAL  GOVT. HIGH SCHOOL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,687,22,160,280,247,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23745,21130124901,"DIBAKAR NODAL,SUNGUDA",JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,171,8,121,50,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23747,21130101201,EAST  RAHALA  U.G.U.P SCHOOL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,108,5,71,37,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23753,21130116301,GAJENDRAPUR NODAL UPS,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,203,7,91,112,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23754,21130117601,GARAGALI NODAL U.P.S.,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,138,8,63,75,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23759,21130117501,HALADHARPUR UGME,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,90,5,56,34,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23760,21130119301,HARISANKAR NODAL,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,216,7,91,125,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23762,21130106901,HATAKARANDA UGME,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,55,3,31,24,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
23764,21130100802,JAGANNATHA GOVT. UCHA BIDYAPITHA,JAJPUR-2113,BARCHANA-211301,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,189,11,49,63,77,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
